cod_cli,rag_soc,cod_prov
0,CLIENTE 0,
13,CLIENTE 13,PN
15,CLIENTE 15,VE
17,CLIENTE 17,UD
26,CLIENTE 26,PN
42,CLIENTE 42,PN
55,CLIENTE 55,PN
71,CLIENTE 71,PN
73,CLIENTE 73,PN
76,CLIENTE 76,UD
78,CLIENTE 78,TV
79,CLIENTE 79,UD
82,CLIENTE 82,PN
84,CLIENTE 84,VE
86,CLIENTE 86,UD
93,CLIENTE 93,TS
101,CLIENTE 101,PN
102,CLIENTE 102,PN
105,CLIENTE 105,PN
111,CLIENTE 111,UD
113,CLIENTE 113,VE
114,CLIENTE 114,VI
116,CLIENTE 116,TV
117,CLIENTE 117,UD
119,CLIENTE 119,PN
120,CLIENTE 120,VE
121,CLIENTE 121,UD
122,CLIENTE 122,VE
124,CLIENTE 124,TS
129,CLIENTE 129,UD
133,CLIENTE 133,VE
134,CLIENTE 134,UD
136,CLIENTE 136,UD
137,CLIENTE 137,VE
138,CLIENTE 138,UD
140,CLIENTE 140,UD
141,CLIENTE 141,PN
144,CLIENTE 144,PN
157,CLIENTE 157,UD
158,CLIENTE 158,UD
159,CLIENTE 159,UD
164,CLIENTE 164,UD
167,CLIENTE 167,PN
169,CLIENTE 169,PN
171,CLIENTE 171,UD
175,CLIENTE 175,VE
177,CLIENTE 177,UD
188,CLIENTE 188,TS
189,CLIENTE 189,UD
191,CLIENTE 191,UD
192,CLIENTE 192,TV
193,CLIENTE 193,VE
195,CLIENTE 195,VE
196,CLIENTE 196,PN
197,CLIENTE 197,PN
198,CLIENTE 198,UD
199,CLIENTE 199,PN
208,CLIENTE 208,UD
209,CLIENTE 209,UD
210,CLIENTE 210,PN
211,CLIENTE 211,UD
213,CLIENTE 213,PN
215,CLIENTE 215,PN
216,CLIENTE 216,PN
217,CLIENTE 217,UD
220,CLIENTE 220,PN
223,CLIENTE 223,PN
229,CLIENTE 229,VE
232,CLIENTE 232,UD
233,CLIENTE 233,VE
234,CLIENTE 234,VE
235,CLIENTE 235,PN
236,CLIENTE 236,TV
239,CLIENTE 239,VE
241,CLIENTE 241,VE
243,CLIENTE 243,PN
249,CLIENTE 249,GO
254,CLIENTE 254,TS
255,CLIENTE 255,UD
257,CLIENTE 257,PN
267,CLIENTE 267,GO
277,CLIENTE 277,GO
282,CLIENTE 282,PN
284,CLIENTE 284,PN
289,CLIENTE 289,UD
298,CLIENTE 298,TV
303,CLIENTE 303,PN
308,CLIENTE 308,PN
310,CLIENTE 310,TV
318,CLIENTE 318,PN
322,CLIENTE 322,PN
323,CLIENTE 323,PN
330,CLIENTE 330,UD
335,CLIENTE 335,PN
343,CLIENTE 343,PN
344,CLIENTE 344,PN
345,CLIENTE 345,PN
355,CLIENTE 355,PN
358,CLIENTE 358,PD
425,CLIENTE 425,PN
444,CLIENTE 444,PN
490,CLIENTE 490,GO
524,CLIENTE 524,VE
551,CLIENTE 551,PN
552,CLIENTE 552,PN
651,CLIENTE 651,PN
922,CLIENTE 922,PN
929,CLIENTE 929,PN
934,CLIENTE 934,PN
940,CLIENTE 940,PN
1011,CLIENTE 1011,PN
1026,CLIENTE 1026,PN
1110,CLIENTE 1110,PN
1111,CLIENTE 1111,PN
1113,CLIENTE 1113,PN
1151,CLIENTE 1151,PN
1152,CLIENTE 1152,PN
1165,CLIENTE 1165,PN
1170,CLIENTE 1170,PN
1200,CLIENTE 1200,PN
1203,CLIENTE 1203,PN
1220,CLIENTE 1220,PN
1278,CLIENTE 1278,PN
1291,CLIENTE 1291,PN
1297,CLIENTE 1297,PN
1300,CLIENTE 1300,TV
1401,CLIENTE 1401,PN
1604,CLIENTE 1604,PN
1645,CLIENTE 1645,PN
1706,CLIENTE 1706,PN
1950,CLIENTE 1950,PN
2050,CLIENTE 2050,PN
2055,CLIENTE 2055,PN
2191,CLIENTE 2191,PN
2256,CLIENTE 2256,PN
2520,CLIENTE 2520,PN
2745,CLIENTE 2745,PN
8510,CLIENTE 8510,PN
9010,CLIENTE 9010,PN
10028,CLIENTE 10028,TV
10030,CLIENTE 10030,PN
10032,CLIENTE 10032,PN
10054,CLIENTE 10054,PN
10056,CLIENTE 10056,PN
10070,CLIENTE 10070,PN
10071,CLIENTE 10071,PN
10081,CLIENTE 10081,PN
10085,CLIENTE 10085,PN
10088,CLIENTE 10088,TV
