cod_art,des_art,cod_linea_comm,cod_sett_comm,cod_fam_comm,cod_sott_comm,img_path
1101100,ROGASKA ACQUA MINERALE TV SORGENTE DONAT,11,2T,NB,NULL,../../assets/products_images/1101100.jpg
1102047,San Benedetto Acqua Naturale Elite,11,3F,S1,NULL,../../assets/products_images/1102047.jpg
1102048,San Benedetto Acqua Frizzante Elite,11,3F,S1,NULL,../../assets/products_images/1102048.jpg
1102054,GOCCIA DI CARNIA ACQUA FRIZZANTE TAPPO A VITE,11,2V,G2,NULL,../../assets/products_images/1102054.jpg
1102055,GOCCIA DI CARNIA ACQUA NATURALE TAPPO A VITE,11,2V,G2,NULL,../../assets/products_images/1102055.jpg
1102088,SAN BENEDETTO ACQUA NATURALE TAPPO A VITE,11,2U,S1,NULL,../../assets/products_images/1102088.jpg
1102089,SAN BENEDETTO ACQUA FRIZZANTE TAPPO A VITE,11,2U,S1,NULL,../../assets/products_images/1102089.jpg
1102091,SAN BENEDETTO ACQUA NATURALE ANTICA FONTE DELLA SALUTE,11,2X,S1,NULL,../../assets/products_images/1102091.jpg
1102093,SAN BENEDETTO ACQUA FRIZZANTE ANTICA FONTE DELLA SALUTE,11,2X,S1,NULL,../../assets/products_images/1102093.jpg
1102097,SAN BENEDETTO ACQUA NATURALE ANTICA FONTE DELLA SALUTE,11,2V,S1,NULL,../../assets/products_images/1102097.jpg
1102098,SAN BENEDETTO ACQUA FRIZZANTE ANTICA FONTE DELLA SALUTE,11,2V,S1,NULL,../../assets/products_images/1102098.jpg
1102103,SAN PELLEGRINO ACQUA FRIZZANTE,11,2V,S3,NULL,../../assets/products_images/1102103.jpg
1102104,PANNA ACQUA NATURALE,11,2V,S3,NULL,../../assets/products_images/1102104.jpg
1102120,ACQUACHIARA ACQUA FRIZZANTE LIBERTY TAPPO A VITE,11,2U,A1,NULL,../../assets/products_images/1102120.jpg
1102121,ACQUACHIARA ACQUA NATURALE LIBERTY TAPPO A VITE,11,2U,A1,NULL,../../assets/products_images/1102121.jpg
1102132,PEJO ACQUA FRIZZANTE TV CASSA 20*500 ML V/RENDERE,11,2V,PJ,NULL,../../assets/products_images/1102132.jpg
1102133,PEJO ACQUA NATURALE TV CASSA 20*500 ML V/RENDERE,11,2V,PJ,NULL,../../assets/products_images/1102133.jpg
1102250,MANIVA ACQUA NATURALE TAPPO A VITE,11,2V,MV,NULL,../../assets/products_images/1102250.jpg
1102251,MANIVA ACQUA FRIZZANTE TAPPO A VITE,11,2V,MV,NULL,../../assets/products_images/1102251.jpg
1102401,KAISERWASSER ACQUA NATURALE,11,2V,K1,NULL,../../assets/products_images/1102401.jpg
1105002,ACQUACHIARA ONDA ACQUA FRIZZANTE,11,2W,A1,NULL,../../assets/products_images/1105002.jpg
1105003,ACQUACHIARA ONDA ACQUA NATURALE,11,2W,A1,NULL,../../assets/products_images/1105003.jpg
1105010,ALISEA TOP ACQUA FRIZZANTE,11,2W,A2,NULL,../../assets/products_images/1105010.jpg
1105011,ALISEA TOP ACQUA NATURALE,11,2W,A2,NULL,../../assets/products_images/1105011.jpg
1105032,FERRARELLE ACQUA EFFERVESCENTE NATURALE,11,2Z,NB,NULL,../../assets/products_images/1105032.jpg
1105045,PANNA ACQUA NATURALE,11,2X,S3,NULL,../../assets/products_images/1105045.jpg
1105054,GOCCIA DI CARNIA ACQUA FRIZZANTE,11,2X,G2,NULL,../../assets/products_images/1105054.jpg
1105055,GOCCIA DI CARNIA ACQUA NATURALE,11,2X,G2,NULL,../../assets/products_images/1105055.jpg
1105056,GOCCIA DI CARNIA ACQUA FRIZZANTE TAPPO A VITE,11,2Z,G2,NULL,../../assets/products_images/1105056.jpg
1105057,GOCCIA DI CARNIA ACQUA NATURALE TAPPO A VITE,11,2Z,G2,NULL,../../assets/products_images/1105057.jpg
1105058,GOCCIA DI CARNIA ACQUA LEGGERMENTE FRIZZANTE TAPPO A VITE,11,2Z,G2,NULL,../../assets/products_images/1105058.jpg
1105072,RADENSKA 3 CUORI ACQUA MINERALE,11,2T,NB,NULL,../../assets/products_images/1105072.jpg
1105080,PEJO ACQUA FRIZZANTE CASSA 12*750 ML V/RENDERE,11,2W,PJ,NULL,../../assets/products_images/1105080.jpg
1105087,PEJO ACQUA NATURALE CASSA 12*750 ML V/RENDERE,11,2W,PJ,NULL,../../assets/products_images/1105087.jpg
1105088,SAN BENEDETTO ACQUA NATURALE TAPPO A VITE,11,2Y,S1,NULL,../../assets/products_images/1105088.jpg
1105089,SAN BENEDETTO ACQUA LEGGERMENTE FRIZZANTE TAPPO A VITE,11,2Y,S1,NULL,../../assets/products_images/1105089.jpg
1105090,SAN BENEDETTO ACQUA FRIZZANTE TAPPO A VITE,11,2Y,S1,NULL,../../assets/products_images/1105090.jpg
1105098,SAN BENEDETTO ACQUA FRIZZANTE TAPPO A VITE,11,2X,S1,NULL,../../assets/products_images/1105098.jpg
1105099,SAN BENEDETTO ACQUA NATURALE TAPPO A VITE,11,2X,S1,NULL,../../assets/products_images/1105099.jpg
1105103,SAN PELLEGRINO ACQUA FRIZZANTE,11,2Z,S3,NULL,../../assets/products_images/1105103.jpg
1105104,PANNA ACQUA NATURALE,11,2Z,S3,NULL,../../assets/products_images/1105104.jpg
1105105,SAN PELLEGRINO ACQUA FRIZZANTE,11,2X,S3,NULL,../../assets/products_images/1105105.jpg
1105122,PEJO ACQUA LEGG. FRIZZANTE TV CASSA 12*1000 ML V/RENDERE,11,2Z,PJ,NULL,../../assets/products_images/1105122.jpg
1105123,PEJO ACQUA NATURALE TV CASSA 12*1000 ML V/RENDERE,11,2Z,PJ,NULL,../../assets/products_images/1105123.jpg
1105124,PEJO ACQUA FRIZZANTE TV CASSA 12*1000 ML V/RENDERE,11,2Z,PJ,NULL,../../assets/products_images/1105124.jpg
1105401,KAISERWASSER ACQUA NATURALE,11,2Z,K1,NULL,../../assets/products_images/1105401.jpg
1106015,ACQUACHIARA ACQUA NATURALE LIBERTY TAPPO A VITE,11,2Y,A1,NULL,../../assets/products_images/1106015.jpg
