"cod_fam_comm","fam_comm"
"0B","BOSCO DEL CONTE"
"0C","CITTAVECCHIA"
"0F","FULLER"
"11","PROHIBITO"
"1A","CASTILLO DE ARESAN"
"1B","BIRRA DEL BORGO"
"1C","CEMBRA"
"1D","DOMAINE CLAVEL"
"1G","GOOD DAY"
"1H","CHRIS"
"1L","LAVIS / CHARDIS"
"1M","MAISON DU VIGNERON"
"1P","PEPPOLI"
"1S","SALAZAR"
"1V","VOSCA FRANCESCO"
"1W","VIDUSSI"
"1X","MARIO SCHIOPETTO - VOLPE PASINI"
"2B","BOON"
"2C","CANEVA DA NANI"
"2F","FONTE CORTE PARADISO"
"2H","HERRNBRAU"
"2M","MOILLARD GRIVOT"
"2P","CASTELLO DELLA SALA"
"2S","STANIG"
"2T","LE DUE TORRI"
"2V","CACOVICH"
"33","STEENBRUGGE"
"3M","TRE MONTI"
"3P","PRUNOTTO"
"3S","SALTY DOGS"
"3T","CATTIER"
"3V","T.V. BIO SMOOTHIE"
"3W","SIMCIC PATRICK WINES"
"47","47 ANNO DOMINI"
"4C","CHATEAU DAUZAC"
"4L","1942 COLONIALE GROUP"
"4M","MON CARUL"
"4S","SAGNA IMPORTAZIONI"
"4V","CAPO DI VIGNA"
"5B","BUFFON"
"5M","COROMANO"
"5P","PRADIS"
"5S","SPUMANTE DOLCE"
"5W","PULEC WINES"
"6B","BOLLINGER"
"6C","CHATEAU DES COMBES"
"6S","SAN GUIDO"
"6W","RUSSIAN"
"7B",NULL
"7S","SAUVION"
"8B","BORTOLUZ"
"8S","LA SPINETTA"
"8W","BORGO TINTOR"
"9B","LA BAUME"
"9C","CALATRONI"
"9M","MUMM CHAMPAGNE"
"A&","ALES&CO"
"A1","ACQUACHIARA/NORDA"
"A2","ALISEA"
"A3","AMATE'"
"A4","AMITA"
"A5","CANTINA ALDENO"
"A6","ANGIULI DONATO"
"A7","ALLEGRINI"
"AC","AMICA CHIPS"
"AD","ADNAMS"
"AE","AEBLEROV"
"AL","ALPEN BRAU"
"AM","AMUNDSEN"
"AN","TENUTE ANGORIS"
"AS","AUTREAU DE CHAMPILLON"
"AT","ARTHUR METZ"
"AU","AUGUSTINER"
"AY","ARMAND DE BRIGNAC"
"AZ","ADEZ"
"B1","BARDO"
"B2","BLANCHE DE NAMUR"
"B4","BECK''S"
"B5","BELLAVISTA TMT"
"B6","BENEDETIC"
"B8","BLANCHE DE BRABANT"
"B9","BOLE"
"BB","BORTOLOMIOL"
"BC","BASS"
"BD","BUD"
"BG","BORGO S.DANIELE"
"BH",NULL
"BI","BILLECART"
"BK","BROOKLYN"
"BM","BORGO MOLINO/CORTE ROSE"
"BN","BLOEMENBIER"
"BQ","DU BOCQ"
"BS","BORGO SAVAIAN"
"BT","BERTINCHAMPS"
"BU","BUTUSSI"
"BV","BRITVIC"
"BW","BREWDOG"
"BX","BURN"
"C0","CA'' DEL BOSCO"
"C1","CASTELLO DI RADDA"
"C3","CARLO DI PRADIS"
"C4","CARLSBERG/TUBORG/KRONENBURG/PORETTI/TUCH"
"C5","CASTELLO"
"C6","CASTELVECCHIO"
"C7","CERES"
"C8","CHIMAY"
"CA","CANEVEL"
"CC","COCA COLA/FANTA/SPRITE"
"CD","COLLE DUGA"
"CE","COLLAVINI"
"CG","COMPAGNIA DEI CARAIBI"
"CH","CONTADI CASTALDI"
"CJ","COZZAROLO"
"CN","CESCON ITALO"
"CO","CORONA"
"CP","LA CIPRIANA"
"CS","CORTESE/SCORTESE"
"CT","CATTUNAR"
"CU","COUTURE LE CONTRADE"
"CV","COL VETORAZ"
"CW","SCHWARZBRAU"
"CZ","CRODO"
"C^","CHATEAU GRESSINA"
"D4","DOLOMIA"
"D5","DOLOMITI/SUPERIOR/PEDAVENA"
"D6","DOM PERIGNON"
"D7","DOGARINA"
"D8","DDS"
"DA","DOMAINE ANDRE'' BRUNEL"
"DB","DAL BELLO"
"DD","DOMAINE DE SAULX"
"DF","DIFRUTTA"
"DG","DELLA GRANDA"
"DK","DARK REVOLUTION"
"DM","DOMAINE BELLEVILLE"
"DP","DARLING SPUDS"
"DS","DISTILLATI GROUP"
"DT",NULL
"DU","DUPLAVILIS"
"DV","DUVEL"
"DY","DERBY"
"EB","EIBAUER"
"EC","ECHENOR"
"ED","SACRED"
"EI","EICHINGER"
"EL","EAST LONDON LIQUOR COMPANY"
"EN","NORTHERN MONK"
"EP","ST.MICHAEL EPPAN"
"ER","ERDINGER"
"F1","FLEA"
"F2","FERRARI"
"F3","LOUIS ESCHENAUER"
"F4","DOMAINE DE THOLOMIES"
"F5","FLUMERE"
"F8","FLORIO"
"F9","FRATTINA"
"FB","FISCHER BRAU"
"FC","FRANCA CONTEA"
"FD","CA'' DEL COLLE"
"FE","FENTIMANS"
"FF","GAFFEL BREWERY"
"FH","FIRST CHOP"
"FL","FELLUGA"
"FM","FORTE MASSO"
"FO","FOURPURE"
"FT","FEVER TREE"
"FU","FUZE"
"FV","FORUM IULII"
"G&","G&G BOUVET"
"G0","GATORADE"
"G1","GORDON"
"G2","GOCCIA DI CARNIA"
"G3","GUIZZA"
"G4","GOOSE ISLAND"
"G8","GALLIMARD"
"GA","GAVIOLI ANTICA CANTINA"
"GB","GRIMBERGEN"
"GC","GIACOBAZZI"
"GE","GEMIN"
"GF","GENERAL FRUIT"
"GG","ST.GEORGEN"
"GH","GHILARDI SELEZIONI"
"GJ","GAJA"
"GO","GODIOLO"
"GU","GUINNES"
"H1","HEINEKEN/MORETTI/DREHER"
"H3","HIRTER MARZEN"
"HB","HB TEGERNSEE"
"HE","HELFRICH"
"HH","THE WHITE HAG"
"HL","GIPSY HILL"
"HO","HORVAT"
"HP",NULL
"HW","HAWKES CIDER"
"I3","ILLVA"
"IC","I CAMPI"
"IH","ICHNUSA"
"II","RAMIRO II"
"IN","HB TRAUNSTEIN"
"IT","SAMUEL SMITH"
"IU","DISTILLERIE BUIESE"
"J1","JERMANN"
"JC","CONDE JOSE"
"K1","KAISERWASSER"
"K3","SLADEK"
"KE","KEBER"
"KF","KLIPFEL"
"KI","KILKENNY"
"KK","VINO BRIK"
"KL","BAKALAR"
"KR","KRUG"
"KS","KEESMANN BRAU"
"KW","KWAK BIER"
"KY","KINLEY"
"L0","BRLO"
"L1","LEON DELLA ROSA"
"L3","LA BIER DU DEMON"
"L4","LEVISSIMA"
"L5","LANDBIER/AKTIEN/BAYREUTH"
"L6","LE CONTESSE"
"L8","LASKO"
"LC","LA CHOUFFE"
"LD","LEONARDO"
"LH","BELHAVEN"
"LK","LEIKEIM"
"LL","LURISIA"
"LM","LA MAGNOLIA"
"LN","LIS NERIS"
"LP","LIPTON"
"LS","LILIA/SVEVA"
"LT","LA TRAPPE"
"LU","LOBURG"
"LX","LECLERC BRIANT"
"LY","LAYS"
"LZ","LA GERLA"
"M0",NULL
"M1","MACCARI"
"M2","MOET & CHANDON"
"M3","MASCHIO"
"M5","MAISEL/LANDBIER/AKTIEN/EDELHOPFEN/BAYREU"
"M6","ORNELLA MOLON"
"M7","MONTRESOR"
"M9","MUZIC"
"MA","MARTIN''S"
"MD","MEDILAND"
"MF","MONTE DEL FRA'"
"MH","MOSCHIONI"
"MI","MIKKELLER"
"ML","MOLECOLA"
"MN","MONIN"
"MO","MORETTI"
"MR","MARTINI & ROSSI"
"MS","MONSTER"
"MV","MANIVA"
"MX","BERMONDMIX"
"MZ","MARZADRO"
"N2","DE MOLEN"
"N4","AETNAE"
"N9","EGGENBERG"
"NA","NALS MARGREID"
"NB","NO BRAND"
"NG","NOGNE"
"NI","NIASCA PORTOFINO"
"NM","NAU MAI - KIA ORA"
"NN","NON GESTITO"
"O1","GOSSER"
"O2",NULL
"OH","O''HARA''S"
"OL","TO OL BREWERY"
"OM","MORRELLS"
"ON","ORNELLAIA"
"OR","ORLANDI CONTUCCI PONNO"
"OT","COTSWOLD CIDERS"
"OW","OVERWORKS BREWDOG"
"P0","PAGO"
"P1","PRA DELL''ORT"
"P2","PAVAN"
"P3","PEPSI/SEVEN UP/MIRINDA"
"P4","PILSNER URQUELL"
"P5","PEDAVENA"
"P6","PERONI/NASTRO AZZURRO"
"P7","PITTARO/SAN MARTINO"
