cod_sett_comm,sett_comm
2T,"ACQ.MIN, FINO A CC 1000X6 VAR"
2U,"ACQUE MINERALI, FINO A CC 500"
2V,"ACQUA MIN, FINO A CC 500 VAR M"
2W,"ACQUE MIN, FINO A CC 750 VAR"
2X,ACQUE MIN. FINO A CC 750 VAR M
2Y,"ACQUA MIN, FINO A CC 1000 VAR"
2Z,"ACQUA MIN, FINO A CC 1000 VAR"
33,"ACQUE MINERALI, 6 BOTT. DA 100"
34,"ACQUE MINERALI, 6 BOTT. DA 150"
35,"ACQUA MIN, 6 BOTT DA 1500 MARC"
38,"ACQUE MINERALI, 6/12 BOTT. DA 750"
39,"ACQUE MINERALI, 12 BOTT. DA 50"
3B,"ACQUE MINERALI, 12 BOTT. DA 10"
3F,"ACQUE MINERALI, 12 BOTT.DA 750 CC"
3G,"ACQUE MINERALI, 12 BOTT. DA 70"
3I,"ACQUE MINERALI, 24 BOTT. DA 500/400"
3J,ACQUE MIN.20/28 BT/ LATT DA 250/330
3M,"ACQUE MINERALI, 12 BOTT.DA 250"
5C,BIBITE PREZZO IMPOSTO
5L,BIBITE - BOTT. FINO A 250 VP
5M,"BIBITE, 6X4 DA 100 CC  V/ PERDERE"
5S,BIBITE SPECIALI
5T,"BIBITE, 12 BOTT. V/RENDERE"
5U,"BIBITE, FINO 40 BT DA 100 CC V"
5V,"BIBITE, 48/60 BT DA 100 CC VP"
5X,"BIBITE, FINO A CC 275 V/PERDERE"
5Z,"BIBITE, FINO A CC 500 V/PERDER"
60,"BIBITE, 24 BOTT FINO A 330 VP"
61,"BIBITE,6 BOTT. DA 1000 CC"
63,"BIBITE, 6-9 BOTT. DA 1500 CC"
64,"BIBITE, 6 BOTT. DA 750 CC"
6B,"BIBITE, LATTINA"
6D,"229-BIBITE, FUSTO POST 9 LITRI"
6G,"232-BIBITE, FUSTO  POST MIX 18 lit"
6I,"BIBITE, FUSTO PREMIX 18 LITRI"
7B,"COCA COLA,4/6*1000 CC PET"
7C,"COCA COLA, 12*1000 CC V/RENDERE"
7E,"COCA COLA, 24 BT DA 200 CC VAP"
7F,"COCA COLA, 6 BT DA 1250/ 1500 CC VAP"
7H,"COCA COLA, 24/12 BOTT DA 500 CC"
7I,"COCA COLA, 12 BOTT DA 400/ 500 CC"
7J,"COCA COLA, BOTT DA 250 A 330 C"
7K,FUZE TEA DA 250 CC VAP
7L,"COCA COLA, LTT 24*330"
7M,"COCA COLA, LTT 6/24*  355/500 VP"
7N,"BAG, 20 LITRI COCA"
7P,"BAG,3,56-5 LITRI COCA"
7R,"BAG, 10 LITRI VARI"
7T,"BAG,3-5 LITRI VARI"
7Z,"FUSTI, PRE MIX 18 LITRI COCA"
8D,"301-BIRRA, CASSE DA 200 CC VAR ITA"
8F,"BIRRA, CASSE 24 DA 330 CC VAR"
8H,"305-BIRRA, CASSE 660 CC VAR ITA"
8N,"311-BIRRA, CASSE 500 CC VAR BIRROT"
98,"332-BIRRA, CAR 330 VP BIRROTECA"
99,"333-BIRRA, CARTONE 330 VP ITA"
9A,"334-BIRRA, CARTONE 500 CC VP ITA"
9B,"335-BIRRA, CARTONE 660 CC VP ITA"
9F,"339-BIRRA, CARTONE 330 VP EST"
9H,"BIRRA, CARTONE/CASSA 500 CC VP EST"
9I,"342-BIRRA,CRT 500 CC VP BIRROTECA"
